Name,Rating,DPR,Kast,Impact,ADR,KPR,Start_Date,End_Date
nmt,1.09,0.66,70.9%,1.12,74.4,0.68,2016-09-12,2016-12-11
YuRk0,0.87,0.72,67.1%,0.76,70.8,0.53,2016-09-12,2016-12-11
poizon,0.53,0.93,44.4%,0.58,52.7,0.44,2016-09-12,2016-12-11
Payne,0.49,0.89,46.7%,0.53,46.5,0.36,2016-09-12,2016-12-11
LefteriY,0.81,0.80,55.6%,0.82,66.4,0.51,2016-09-12,2016-12-11
blocker,0.99,0.75,70.9%,1.03,75.7,0.68,2016-09-12,2016-12-11
SHiPZ,1.10,0.76,64.4%,1.16,82.6,0.80,2016-09-12,2016-12-11
tatin,0.96,0.70,70.9%,0.84,66.5,0.68,2016-09-12,2016-12-11
kanarito,1.19,0.66,72.2%,1.06,93.2,0.71,2016-09-12,2016-12-11
Journeey,0.83,0.80,60.7%,0.92,62.9,0.55,2016-09-12,2016-12-11
nikodemous,0.29,0.82,27.3%,0.17,32.5,0.23,2016-09-12,2016-12-11
Witness,0.67,0.86,54.5%,0.80,50.6,0.50,2016-09-12,2016-12-11
avm,1.07,0.82,54.5%,1.46,89.8,0.82,2016-09-12,2016-12-11
zirken,0.70,0.95,50.0%,0.87,75.1,0.59,2016-09-12,2016-12-11
HdN,0.86,0.82,64.4%,0.86,75.6,0.60,2016-09-12,2016-12-11
SANJI,0.52,0.89,51.1%,0.44,50.7,0.38,2016-09-12,2016-12-11
d0NiNja,0.56,0.82,35.6%,0.63,54.6,0.33,2016-09-12,2016-12-11
METHOD,1.03,0.66,69.6%,0.92,72.9,0.64,2016-09-12,2016-12-11
Coldinho,0.96,0.75,55.4%,1.11,73.1,0.75,2016-09-12,2016-12-11
KrizzeN,0.81,0.77,62.5%,0.73,71.3,0.46,2016-09-12,2016-12-11
goddza,1.03,0.68,67.9%,0.95,76.7,0.75,2016-09-12,2016-12-11
moonlight,0.91,0.75,62.5%,1.03,66.2,0.61,2016-09-12,2016-12-11
CEKKA,0.66,0.87,53.3%,0.76,58.7,0.53,2016-09-12,2016-12-11
Schuster,0.53,0.91,59.1%,0.25,62.2,0.41,2016-09-12,2016-12-11
QAKO,1.34,0.67,70.0%,1.42,99.1,0.83,2016-09-12,2016-12-11
konne,0.94,0.67,70.8%,0.67,75.4,0.54,2016-09-12,2016-12-11
hOLMBERG,1.07,0.92,50.0%,1.31,97.6,0.83,2016-09-12,2016-12-11
Jobbzterz,0.51,0.75,29.2%,0.65,46.5,0.38,2016-09-12,2016-12-11
mofukar1x,0.75,0.60,63.3%,0.59,44.0,0.43,2016-09-12,2016-12-11
1000000,0.63,0.77,53.3%,0.65,51.1,0.43,2016-09-12,2016-12-11
Nico,1.22,0.76,75.5%,1.52,88.6,0.80,2016-09-12,2016-12-11
sunshine,0.88,0.82,67.3%,0.96,67.6,0.63,2016-09-12,2016-12-11
freak,1.20,0.70,76.7%,1.02,91.4,0.90,2016-09-12,2016-12-11
who,0.77,0.72,63.5%,0.67,58.4,0.49,2016-09-12,2016-12-11
VigzZ,0.92,0.78,65.1%,1.02,72.1,0.64,2016-09-12,2016-12-11
guin,0.90,0.80,73.3%,0.47,75.5,0.67,2016-09-12,2016-12-11
asur,0.82,0.79,58.3%,1.07,62.6,0.62,2016-09-12,2016-12-11
izk,0.65,0.79,58.3%,0.50,54.3,0.46,2016-09-12,2016-12-11
jwL64,0.78,0.84,63.2%,0.75,63.7,0.65,2016-09-12,2016-12-11
jhd,1.04,0.79,68.4%,1.25,76.2,0.70,2016-09-12,2016-12-11
bee,0.80,0.77,63.2%,0.78,65.9,0.49,2016-09-12,2016-12-11
hRRR,0.96,0.79,70.2%,0.95,74.4,0.63,2016-09-12,2016-12-11
BigggD,1.58,0.67,83.3%,1.96,102.8,1.03,2016-09-12,2016-12-11
Marzil,0.77,0.76,61.2%,0.76,54.1,0.51,2016-09-12,2016-12-11
KS,1.00,0.68,67.5%,0.96,70.1,0.66,2016-09-12,2016-12-11
OLR,0.81,0.85,53.2%,0.76,75.9,0.60,2016-09-12,2016-12-11
Malwar3,0.56,0.83,51.1%,0.47,52.7,0.43,2016-09-12,2016-12-11
ALKEE,0.71,0.83,59.6%,0.46,68.0,0.49,2016-09-12,2016-12-11
Rabbit,0.77,0.91,53.2%,0.99,70.6,0.64,2016-09-12,2016-12-11
caKInho,0.76,0.87,48.9%,1.02,69.6,0.62,2016-09-12,2016-12-11
Bubzkji,0.89,0.72,64.1%,0.75,67.8,0.61,2016-09-12,2016-12-11
zLex,1.08,0.74,67.4%,1.14,86.0,0.76,2016-09-12,2016-12-11
Dominik,0.19,1.00,31.2%,0.00,32.1,0.25,2016-09-12,2016-12-11
HrabiaJakub,0.23,1.00,18.8%,0.45,26.5,0.19,2016-09-12,2016-12-11
Szatanista,0.24,1.00,37.5%,0.29,27.3,0.19,2016-09-12,2016-12-11
